NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Early city, Texas",2860,3.25,126,13.7,2860,138,112,355,6.4
"Scottsville city, Texas",311,3.45,23,22.8,311,23,10,49,1.4
"Waskom city, Texas",2019,3.55,252,23.2,2019,120,130,152,21
"Mabank town, Texas",3159,3.33,291,20.4,3159,193,105,367,20.2
"Terrell city, Texas",16997,3.51,3350,25,16997,850,977,1543,18.4
"Corrigan town, Texas",1845,3.14,564,20.7,1845,119,100,127,23.2
"West Livingston CDP, Texas",7534,2.87,1350,33.6,7534,154,86,501,15.3
"Callisburg city, Texas",403,3.24,0,30.1,403,25,10,60,3.8
"Gainesville city, Texas",16141,3,4136,20.5,16141,651,800,1677,20.8
"Cameron city, Texas",5427,3.18,744,21.5,5427,273,260,403,20.2
"Gholson city, Texas",997,2.66,74,28.8,997,70,15,135,7.8
"Falcon Lake Estates CDP, Texas",1110,3.76,838,11.2,1110,224,9,121,10.1
"Cranfills Gap city, Texas",384,2.99,73,19.3,384,38,22,42,15.9
"Morgan city, Texas",539,3.46,190,37,539,35,10,22,23.1
"Italy town, Texas",1835,3.58,357,27.4,1835,143,124,210,7
"Rose City city, Texas",512,3.54,96,18.7,512,46,46,42,1.5
"Elkhart town, Texas",1365,3.33,37,24.6,1365,79,55,110,17.7
"Inez CDP, Texas",2433,3.14,171,28,2433,118,186,434,8.1
"Victoria city, Texas",66515,3.3,16165,18.1,66515,3735,3080,6978,13.3
"Browndell city, Texas",251,5.14,0,36.2,251,2,0,21,27.9
"Jamaica Beach city, Texas",1014,2.79,56,24.9,1014,70,60,226,1.1
"Botines CDP, Texas",22,-,10,N,22,0,0,12,-
"Laredo Ranchettes CDP, Texas",71,7.89,71,-,71,22,0,0,100
"Mirando City CDP, Texas",423,4.22,359,12.2,423,27,14,16,40.7
"Ranchitos Las Lomas CDP, Texas",324,5.41,271,17.3,324,0,10,0,12.1
"Hartley CDP, Texas",531,2.8,238,11.3,531,36,0,35,20.7
"Howardwick city, Texas",371,2.73,0,31.5,371,21,4,48,6.3
"Copper Canyon town, Texas",2277,3.13,260,33.7,2277,170,93,496,2.3
"Vega city, Texas",910,3.26,63,20.3,910,56,20,100,7.9
"Lavon city, Texas",2832,3.56,389,41.1,2832,186,195,667,0
"Little Elm city, Texas",39471,3.51,10204,35.1,39471,2122,1924,7970,4.8
"Mart city, Texas",1897,3.2,110,23.1,1897,133,54,223,18.5
"Valley Mills city, Texas",1375,3.24,183,20.3,1375,117,62,212,8.4
"Woodway city, Texas",8719,3.02,634,15.9,8719,642,620,1712,2.3
"Buda city, Texas",13253,3.2,2278,35.2,13253,677,474,2990,1.5
"Dripping Springs city, Texas",2764,3.74,750,28.6,2764,172,118,303,10.3
"Hays city, Texas",235,2.92,35,35.4,235,14,13,47,14.1
"Dell City city, Texas",376,4.3,157,16.4,376,27,0,16,31.1
"Clarksville City city, Texas",827,2.71,8,19.2,827,31,16,112,8.6
"Kilgore city, Texas",14784,3.31,2772,22.9,14784,619,1164,1713,10.5
"Hawley city, Texas",715,2.91,20,20.6,715,19,13,64,9
"Ingleside city, Texas",9898,3.35,2962,24.7,9898,734,223,1590,10.3
"Hackberry town, Texas",2246,3.68,1068,32,2246,99,187,423,6.5
"Mount Pleasant city, Texas",16069,3.56,7501,15.6,16069,1207,645,1583,17.7
"Moran city, Texas",355,3.45,0,29.6,355,12,30,20,20.5
"Center city, Texas",5388,3.66,1606,13,5388,622,171,443,36.5
"Claude city, Texas",1268,2.99,121,25.7,1268,62,52,189,4.2
"Arp city, Texas",949,3.49,35,25,949,62,33,121,1.3
"Val Verde Park CDP, Texas",2888,3.89,1999,23.1,2888,239,129,322,16.1
"Creedmoor city, Texas",180,3.22,59,37.2,180,8,9,21,11.8
