NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Stanfield CDP, Arizona",405,3.35,174,N,405,48,0,25,29.3
"Superior town, Arizona",2954,3.56,1190,24.1,2954,117,55,327,8
"Duncan town, Arizona",739,2.89,119,34.4,739,52,38,69,18.7
"Morenci CDP, Arizona",1689,3.67,374,9.1,1689,107,43,0,5.4
"Fort Defiance CDP, Arizona",4118,4.99,1766,18.7,4118,400,197,95,30.9
"Pirtleville CDP, Arizona",1838,3.08,1649,18.1,1838,235,43,162,29.4
"Eloy city, Arizona",17537,3.71,7952,23.3,17537,559,363,971,28.3
"Nogales city, Arizona",20233,3.72,16720,18.7,20233,1657,873,1978,27.1
"Sonoita CDP, Arizona",850,2.47,98,30.9,850,109,31,226,7.7
"Arizona City CDP, Arizona",11030,3.33,1956,27.7,11030,666,533,1684,15.1
"Hayden town, Arizona",483,2.67,305,15,483,29,6,17,23.9
"Second Mesa CDP, Arizona",1695,5.35,1208,22.9,1695,106,38,37,24.2
"Three Points CDP, Arizona",5453,3.31,1663,50.1,5453,239,283,918,19.1
"Tucson Estates CDP, Arizona",12047,2.79,2127,32.4,12047,270,645,2152,11.9
"Dennehotso CDP, Arizona",792,5.16,631,29,792,45,7,11,25.5
"Houck CDP, Arizona",1030,5.28,549,34.8,1030,61,13,22,39.7
"Many Farms CDP, Arizona",1322,4.68,629,28.3,1322,110,56,22,19.3
"Nazlini CDP, Arizona",469,6.67,287,31.1,469,37,18,10,57.4
"Rock Point CDP, Arizona",484,5.17,382,38.2,484,32,14,7,50
"Benson city, Arizona",4916,2.55,644,20.7,4916,196,302,725,22.6
"Douglas city, Arizona",16576,3.38,10323,15.6,16576,1148,1145,1135,29.8
"Huachuca City town, Arizona",2348,3.29,579,20.2,2348,111,157,376,33.6
"Black Canyon City CDP, Arizona",2892,2.77,107,31.7,2892,57,121,463,16.1
"Camp Verde town, Arizona",11091,3.2,1152,22.8,11091,472,468,1405,20.1
"Cornville CDP, Arizona",3167,2.84,252,40,3167,63,370,720,2.2
"Lake Montezuma CDP, Arizona",5013,2.72,332,28.2,5013,227,226,949,13.6
"Coolidge city, Arizona",12221,3.91,2804,24.9,12221,722,657,1161,19.3
"Florence town, Arizona",26066,3.08,8884,23.5,26066,818,470,1733,9.3
"Top-of-the-World CDP, Arizona",325,3.1,42,N,325,0,21,18,12.9
"Kykotsmovi Village CDP, Arizona",791,4.56,549,26.2,791,53,6,22,19.1
"Winslow city, Arizona",9517,3.73,3078,11.7,9517,648,554,702,27.3
"Ajo CDP, Arizona",3525,3.14,1126,19.5,3525,119,34,236,21.7
"Marana town, Arizona",41720,3.08,6950,29.8,41720,1845,2783,8478,5.1
"Tacna CDP, Arizona",742,3.06,298,20.1,742,90,22,136,12.6
"Window Rock CDP, Arizona",3282,4.54,1840,19.3,3282,137,190,45,29.5
"Sierra Vista city, Arizona",43585,2.92,8644,17.9,43585,2090,3343,6270,11.2
"Ash Fork CDP, Arizona",824,3.33,305,27.9,824,63,21,77,41.2
"Yuma city, Arizona",93851,3.19,40794,15.7,93851,5698,6231,12772,14.9
"Tumacacori-Carmen CDP, Arizona",281,2.87,54,N,281,14,0,7,0
"Arizona Village CDP, Arizona",1129,3.48,99,17.8,1129,27,43,76,27.6
"Colorado City town, Arizona",4809,8.96,0,20.8,4809,353,50,0,49.3
"Kaibab CDP, Arizona",162,2.75,16,7.3,162,16,6,12,25
"Cameron CDP, Arizona",1178,4.38,742,30.6,1178,91,21,47,30.6
"Amado CDP, Arizona",104,1.86,10,N,104,0,0,24,0
"Chilchinbito CDP, Arizona",887,4.59,712,37.7,887,82,20,5,57
"Heber-Overgaard CDP, Arizona",2408,2.8,268,19.2,2408,100,53,378,17.5
"McNary CDP, Arizona",673,5.45,217,20.3,673,59,11,32,43.1
"Drexel Heights CDP, Arizona",28187,3.41,11746,27.7,28187,2227,1702,4801,15.8
"Picture Rocks CDP, Arizona",8666,2.92,850,39.8,8666,532,382,1867,9.1
"Summit CDP, Arizona",5349,3.68,3941,22.8,5349,402,235,627,28.3
"Chuichu CDP, Arizona",414,6,235,N,414,0,29,0,26.1
"Kearny town, Arizona",2249,3.7,479,20,2249,141,82,316,12.1
"Burnside CDP, Arizona",629,4.82,404,17.9,629,80,34,11,34.5
"Chinle CDP, Arizona",5698,5.54,2352,18.8,5698,641,306,58,42.7
"Round Rock CDP, Arizona",725,5.69,563,42.9,725,59,50,36,30.8
"Sedona city, Arizona",10246,2.5,1321,16.4,10246,319,409,2225,7.6
"Chino Valley town, Arizona",11155,2.93,1119,26.7,11155,385,410,2305,8.8
"Paulden CDP, Arizona",5064,2.99,437,33.8,5064,197,115,959,10.7
"Prescott Valley town, Arizona",41995,2.93,5797,20.7,41995,1962,2476,7067,9.9
"Yarnell CDP, Arizona",658,2.21,67,29.2,658,0,4,100,14.6
"Clifton town, Arizona",3638,3.55,851,13.9,3638,198,168,64,5.8
"Dolan Springs CDP, Arizona",2479,3.17,284,36,2479,19,0,316,42.5
"San Luis city, Arizona",31509,3.87,26376,28.6,31509,2447,1847,4190,24.8
"Wellton town, Arizona",2950,2.59,1170,36.3,2950,193,48,292,16.5
"Elgin CDP, Arizona",112,1.98,0,21.1,112,0,7,22,26.1
"Patagonia town, Arizona",848,3.19,216,15.2,848,30,31,55,23.7
"Tubac CDP, Arizona",1365,2.14,351,19.6,1365,0,18,341,8.5
"Dilkon CDP, Arizona",1320,4.48,743,43.9,1320,111,56,39,34.4
"First Mesa CDP, Arizona",1928,5.51,683,21.2,1928,138,67,70,41.9
"Oljato-Monument Valley CDP, Arizona",202,6.65,155,26.5,202,4,6,3,50
"Shongopovi CDP, Arizona",1067,5.98,639,16.6,1067,67,29,16,44.7
"Avra Valley CDP, Arizona",5227,3.1,892,43.5,5227,237,169,930,14.2
"Flowing Wells CDP, Arizona",14972,3.19,5604,22.1,14972,954,896,1952,18.9
"Sells CDP, Arizona",2688,5,782,12.9,2688,219,99,62,40.8
"Mammoth town, Arizona",1582,3.7,662,31.9,1582,104,46,115,14.5
"Oracle CDP, Arizona",3729,3.04,1111,34.7,3729,344,26,523,5.1
"Queen Valley CDP, Arizona",654,1.99,26,N,654,0,0,56,0
"Sacaton CDP, Arizona",2338,3.87,454,22.5,2338,66,172,8,26.3
"Teec Nos Pos CDP, Arizona",711,4.81,481,37.2,711,81,61,22,33.1
"Sawmill CDP, Arizona",706,6.45,346,41,706,61,20,4,53.5
"Steamboat CDP, Arizona",299,5.07,218,35,299,16,13,0,50
"Bisbee city, Arizona",5261,2.64,1415,20.4,5261,203,108,928,23.4
"Tombstone city, Arizona",1459,2.56,138,16.6,1459,47,36,258,13.6
"Willcox city, Arizona",3557,3.18,1613,16.5,3557,288,43,595,25.3
"Desert Hills CDP, Arizona",2838,2.68,143,19.5,2838,9,56,428,16.2
"Lake Havasu City city, Arizona",53463,2.72,5203,20.8,53463,2199,2273,9851,7.2
"Jerome town, Arizona",432,2.56,66,21.5,432,6,28,76,0
"Mayer CDP, Arizona",1948,3.69,126,35.7,1948,133,100,237,13.3
"Tonalea CDP, Arizona",335,4.55,237,N,335,24,0,0,32.3
"Peridot CDP, Arizona",1648,5.84,445,15.3,1648,220,45,18,29.7
"Rio Verde CDP, Arizona",2028,2.02,121,27.7,2028,0,0,503,1.5
"Scottsdale city, Arizona",239283,2.84,29569,22.1,239283,10334,14987,47171,5.8
"Sun City CDP, Arizona",39000,2.21,1884,24.8,39000,120,516,8067,5.3
"Youngtown town, Arizona",6625,3.54,1217,28.7,6625,370,215,877,16.8
"Poston CDP, Arizona",312,5.68,198,12.4,312,18,0,0,25
"Salome CDP, Arizona",1296,2.26,346,15.4,1296,20,0,157,7.6
"Bullhead City city, Arizona",39824,2.89,7170,19,39824,1547,1193,4888,12.2
"Golden Valley CDP, Arizona",8694,2.89,303,29,8694,431,154,1583,12.6
"San Carlos CDP, Arizona",4395,4.61,1375,24.3,4395,261,97,28,46.9
"Swift Trail Junction CDP, Arizona",3304,3.51,912,26.1,3304,121,329,318,9.9
"Avondale city, Arizona",81590,3.66,28225,28.1,81590,5198,6152,10804,12.8
"Tempe city, Arizona",178339,3.14,42944,20.9,178339,7052,42330,18309,11.7
"Tolleson city, Arizona",7052,3.53,4457,23.4,7052,373,367,527,20
"Parks CDP, Arizona",1652,2.43,63,30.6,1652,26,58,302,2.2
"Congress CDP, Arizona",1454,2.68,150,27.6,1454,33,14,239,8.4
"Wilhoit CDP, Arizona",870,2.64,126,38.2,870,27,27,173,6.6
"Tonto Basin CDP, Arizona",1601,2.5,11,30.2,1601,54,0,324,11.8
"Munds Park CDP, Arizona",726,1.99,0,17.9,726,0,48,126,9.9
"Cibola CDP, Arizona",414,3.65,171,22.8,414,20,0,20,0
"Young CDP, Arizona",421,2.33,55,22,421,24,7,56,0
"Central Heights-Midland City CDP, Arizona",2752,2.55,344,18.8,2752,184,133,406,13.4
"Miami town, Arizona",2238,3.49,604,18.4,2238,135,59,204,24.1
"Pine CDP, Arizona",1591,2.33,166,23.7,1591,52,25,465,0
"Ehrenberg CDP, Arizona",844,2.52,155,13.3,844,76,63,45,0
"Thatcher town, Arizona",4982,3.31,628,17.9,4982,336,785,689,12
"Carefree town, Arizona",3657,2.25,170,26.7,3657,43,16,739,8.3
"Paradise Valley town, Arizona",13961,3.01,1481,23.1,13961,837,590,2789,4.9
"Surprise city, Arizona",129534,3.18,18100,30.3,129534,6793,6466,23823,6.5
"Grand Canyon Village CDP, Arizona",1438,2.03,285,10.2,1438,0,187,36,0
"Kaibito CDP, Arizona",1712,4.9,859,33.1,1712,120,88,56,32.3
"Moenkopi CDP, Arizona",1273,3.65,826,15.3,1273,30,15,41,27.5
"Supai CDP, Arizona",0,-,0,-,0,0,0,0,-
"Tuba City CDP, Arizona",9022,4.17,4596,16.3,9022,585,434,378,26.2
"Gisela CDP, Arizona",642,4.63,19,37.4,642,13,49,83,36.4
"Fountain Hills town, Arizona",24047,2.56,1660,26,24047,938,761,6004,3.5
"New River CDP, Arizona",14847,2.93,1057,33.3,14847,763,948,3491,3.6
"Sun City West CDP, Arizona",25085,2.08,1054,23.9,25085,54,248,4781,3.6
"Sun Lakes CDP, Arizona",14800,2.09,789,27.9,14800,32,183,3335,3.7
"Litchfield Park city, Arizona",5686,2.99,564,32.1,5686,307,373,1268,6
"Red Mesa CDP, Arizona",367,4.32,205,15.8,367,25,25,4,16.2
"St. Johns city, Arizona",3502,3.62,436,11.9,3502,447,474,552,18.1
"Goodyear city, Arizona",74953,3.36,15023,29,74953,4704,5372,13585,6.8
"Guadalupe town, Arizona",6270,4.52,3663,20.8,6270,356,237,464,31.4
"Williamson CDP, Arizona",5108,2.4,191,23,5108,116,130,1357,3.5
"Canyon Day CDP, Arizona",1293,4.89,620,18.4,1293,71,36,52,44.3
"East Fork CDP, Arizona",699,5.49,339,15.2,699,26,0,20,45.5
"Parker town, Arizona",3074,3.74,571,10.6,3074,153,253,324,13.9
"Parker Strip CDP, Arizona",652,2.19,26,16.4,652,35,10,89,1.8
"Gadsden CDP, Arizona",502,2.98,443,31.3,502,24,44,43,31.5
"Taylor town, Arizona",4120,3.23,555,22.7,4120,219,167,450,7.7
"Greasewood CDP, Arizona",502,4.29,330,37.5,502,48,15,26,34.6
"Holbrook city, Arizona",5005,3.74,1124,14.9,5005,229,206,459,16.4
"Shonto CDP, Arizona",543,5.51,353,13.6,543,15,18,0,14.3
"Catalina Foothills CDP, Arizona",50202,2.75,7490,23,50202,2438,3090,10087,4.1
"Littletown CDP, Arizona",610,3.79,211,21,610,12,19,120,14.4
"Winkelman town, Arizona",262,3.37,160,19.6,262,16,25,24,6.7
"Oro Valley town, Arizona",42889,2.75,5062,28.5,42889,2666,2785,8888,3.9
"Sahuarita town, Arizona",28257,3.21,6197,27.5,28257,1424,1870,6089,5.3
"Santa Rosa CDP, Arizona",390,3.22,168,16.6,390,24,13,12,40.4
"Lukachukai CDP, Arizona",1660,5.29,1267,35.4,1660,101,134,45,31.5
"St. Michaels CDP, Arizona",1245,4.81,819,21.4,1245,103,81,142,16.3
"Hotevilla-Bacavi CDP, Arizona",1250,4.72,777,17.3,1250,81,19,13,19
"Snowflake town, Arizona",5668,3.93,335,22.3,5668,386,310,782,8.3
"Quartzsite town, Arizona",3669,2,191,5.6,3669,0,0,250,3.9
"Kingman city, Arizona",28855,3.01,2117,16.7,28855,1299,1124,4066,12.3
"Mesquite Creek CDP, Arizona",470,2.37,47,21.2,470,14,0,76,1.2
"New Kingman-Butler CDP, Arizona",13060,3.03,901,17.3,13060,727,574,1576,23.4
"Globe city, Arizona",7341,2.78,1197,13.9,7341,400,374,977,17.8
"Apache Junction city, Arizona",38452,2.93,4423,26.6,38452,1528,1640,5466,14.8
"Cave Creek town, Arizona",5423,2.59,263,28.3,5423,183,213,1284,4
"Peoria city, Arizona",161383,3.31,21689,28.1,161383,8525,10570,30375,5.7
"Queen Creek town, Arizona",33298,3.76,2801,33.1,33298,2621,2110,7338,7.1
"Fredonia town, Arizona",1236,3.25,120,16.1,1236,97,39,154,21
"Page city, Arizona",7515,3.59,1510,10.7,7515,828,173,858,16.3
"Willow Valley CDP, Arizona",869,2.36,28,19.7,869,9,0,74,8.6
"Seligman CDP, Arizona",471,2.79,30,23.1,471,35,19,79,12.2
"Cordes Lakes CDP, Arizona",2328,2.51,202,40.5,2328,37,132,487,10.7
"Cottonwood city, Arizona",11634,2.78,2050,23.1,11634,330,827,1447,17.8
"Claypool CDP, Arizona",1428,2.89,314,11.7,1428,37,40,108,12.6
"Payson town, Arizona",15338,2.58,912,18.1,15338,631,465,2739,7.1
"Bluewater CDP, Arizona",875,2.58,42,14.6,875,7,22,40,14
"Wenden CDP, Arizona",360,2.82,128,14.2,360,34,0,49,14.7
"Chandler city, Arizona",245160,3.38,54503,24,245160,14756,17044,42864,6.4
"El Mirage city, Arizona",34400,3.77,10456,28.6,34400,2529,2400,4767,14.5
"Glendale city, Arizona",241543,3.56,73369,27.6,241543,14676,16382,31268,15.9
"Mesa city, Arizona",479317,3.33,95148,24.8,479317,25744,33808,67087,12
"Wickenburg town, Arizona",6906,2.74,874,19.8,6906,284,172,1170,4.9
"Flagstaff city, Arizona",69903,3.04,10884,15.7,69903,2420,22347,7368,10.4
"Bitter Springs CDP, Arizona",417,4.01,248,36.7,417,42,20,4,55.1
"Kachina Village CDP, Arizona",3013,2.72,362,24.2,3013,199,363,635,11
"Phoenix city, Arizona",1574421,3.58,542524,25.4,1574421,93628,94858,209228,16.3
"Pima town, Arizona",2495,3.73,322,24.6,2495,143,81,373,28.3
"Mountainaire CDP, Arizona",993,2.68,123,18.4,993,31,41,175,2.6
"Gilbert town, Arizona",232176,3.54,28339,27.7,232176,16561,15462,44373,4.4
"Bouse CDP, Arizona",927,2.56,5,18.5,927,32,0,96,0
"Williams city, Arizona",3114,3,447,19,3114,126,93,473,21.4
"Strawberry CDP, Arizona",714,2.11,87,22.4,714,38,6,132,10.6
"Safford city, Arizona",9662,3.54,1528,14.8,9662,742,447,1189,12.7
"Peach Springs CDP, Arizona",1228,4.1,449,33,1228,48,23,23,34.3
"Show Low city, Arizona",10860,3.08,1591,16.5,10860,650,503,1349,20.1
"East Globe CDP, Arizona",258,3.17,124,22.2,258,11,22,35,0
"Village of Oak Creek (Big Park) CDP, Arizona",6436,2.42,745,28,6436,126,309,1319,2.2
"Icehouse Canyon CDP, Arizona",453,2.43,78,21.6,453,0,30,72,9.7
"Arivaca Junction CDP, Arizona",1187,4.36,687,29.5,1187,58,110,193,24.7
"Haivana Nakya CDP, Arizona",143,3.56,61,N,143,11,21,0,78.1
"Chiawuli Tak CDP, Arizona",0,-,0,-,0,0,0,0,-
"Pimaco Two CDP, Arizona",669,2.81,59,38.6,669,0,107,98,4.8
"San Miguel CDP, Arizona",297,5.12,63,-,297,10,31,17,39.7
"South Komelik CDP, Arizona",308,5.71,90,27.8,308,25,23,16,67.3
"Ventana CDP, Arizona",87,6.73,14,-,87,34,0,5,100
"Wahak Hotrontk CDP, Arizona",122,10,17,N,122,0,0,0,0
"Rillito CDP, Arizona",51,2,0,N,51,13,0,0,0
"Seven Mile CDP, Arizona",748,4.76,347,23.8,748,24,7,22,46.5
"Verde Village CDP, Arizona",12584,3.06,1716,23.4,12584,757,477,2367,12.4
"Picacho CDP, Arizona",427,3.18,186,19.2,427,16,34,39,21.2
"Kohatk CDP, Arizona",20,-,20,-,20,0,0,0,-
"Tat Momoli CDP, Arizona",54,3.86,0,-,54,0,0,0,100
"Vicksburg CDP, Arizona",963,2.68,326,11.8,963,0,0,39,7.9
"San Manuel CDP, Arizona",3714,3.48,726,50.3,3714,260,214,442,17.5
"Vail CDP, Arizona",11735,3.19,1437,30.2,11735,784,500,2635,8.9
"Mohave Valley CDP, Arizona",2984,3.29,486,23.3,2984,190,90,456,26.6
"Gila Bend town, Arizona",1882,3.53,956,12.1,1882,58,39,159,33
"Mojave Ranch Estates CDP, Arizona",21,2.5,2,N,21,0,0,4,33.3
"Leupp CDP, Arizona",1295,4.87,767,42,1295,118,72,25,9.6
"Kayenta CDP, Arizona",4630,4.55,3515,23.4,4630,515,170,116,39.7
"Somerton city, Arizona",15508,3.65,12646,24.1,15508,1266,894,2521,27.2
"Sierra Vista Southeast CDP, Arizona",15591,2.77,2364,23.8,15591,899,934,3301,9
"Corona de Tucson CDP, Arizona",7583,3.41,1117,36,7583,567,414,1692,1.3
"Tanque Verde CDP, Arizona",16197,2.75,1433,30,16197,876,863,3847,2.7
"Eagar town, Arizona",4894,3.94,569,16.3,4894,306,215,725,6.1
"LeChee CDP, Arizona",1527,4.99,675,21.9,1527,89,99,62,13.8
"Maricopa city, Arizona",46248,3.73,7782,35,46248,2685,2751,8752,6.1
"Dewey-Humboldt town, Arizona",3993,3.01,403,28.3,3993,176,295,948,9.2
"Star Valley town, Arizona",1816,3.03,15,20.4,1816,97,9,342,13.6
"Drysdale CDP, Arizona",449,3.3,332,21.9,449,15,0,0,46.3
"Martinez Lake CDP, Arizona",81,2.03,0,N,81,0,0,7,0
"Alpine CDP, Arizona",86,2.38,7,N,86,0,0,10,0
"Concho CDP, Arizona",146,14.6,38,-,146,0,0,10,0
"Cornfields CDP, Arizona",373,6.77,211,55.6,373,18,11,6,37.5
"Cottonwood CDP, Arizona",201,4.17,134,15.9,201,28,3,0,23.8
"Del Muerto CDP, Arizona",341,4.66,235,N,341,30,0,19,39.3
"Greer CDP, Arizona",40,2,0,-,40,0,0,20,0
"Lupton CDP, Arizona",19,8,8,N,19,0,0,0,0
"Nutrioso CDP, Arizona",59,2.05,20,N,59,0,0,20,0
"Oak Springs CDP, Arizona",84,6.31,53,N,84,4,6,2,15.4
"Sanders CDP, Arizona",541,5.55,216,N,541,45,8,21,34.4
"Sehili CDP, Arizona",107,4.89,102,N,107,4,0,3,47.4
"Toyei CDP, Arizona",0,-,0,-,0,0,0,0,-
"Vernon CDP, Arizona",38,3,0,N,38,0,0,14,0
"Wide Ruins CDP, Arizona",84,-,42,-,84,0,0,0,-
"Klagetoh CDP, Arizona",203,5.53,141,53.4,203,32,0,3,56.3
"Wall Lane CDP, Arizona",365,3.35,333,34.6,365,40,9,23,26.7
"Wellton Hills CDP, Arizona",386,3.67,208,18.5,386,0,0,82,3.8
"Padre Ranchitos CDP, Arizona",253,4.67,191,30.8,253,14,25,8,81.4
"Orange Grove Mobile Manor CDP, Arizona",629,3.6,564,33,629,76,0,71,69.2
"Rancho Mesa Verde CDP, Arizona",909,3.46,817,17.3,909,147,146,80,54
"El Prado Estates CDP, Arizona",665,3.42,559,22.7,665,69,42,53,12.1
"Flowing Springs CDP, Arizona",44,4,0,N,44,0,16,5,0
"Mead Ranch CDP, Arizona",0,-,0,-,0,0,0,0,-
"Geronimo Estates CDP, Arizona",92,4.84,0,N,92,0,19,0,0
"East Verde Estates CDP, Arizona",167,2.04,12,N,167,0,0,22,17.6
"Mesa del Caballo CDP, Arizona",569,2.96,25,18.7,569,20,23,122,9
"Washington Park CDP, Arizona",137,2.69,0,N,137,0,0,45,0
"Whispering Pines CDP, Arizona",106,3.21,0,N,106,0,0,4,50
"Tonto Village CDP, Arizona",368,2.9,33,29.3,368,14,17,77,0
"Donovan Estates CDP, Arizona",1373,3.79,963,18.3,1373,58,77,159,17.1
"Avenue B and C CDP, Arizona",3444,3.75,2478,19.9,3444,344,156,200,30.4
"Oxbow Estates CDP, Arizona",197,2.28,12,14.6,197,17,9,28,29.2
"Wheatfields CDP, Arizona",466,3.86,17,N,466,66,37,20,0
"Rye CDP, Arizona",108,2.54,0,N,108,0,20,10,0
"Round Valley CDP, Arizona",832,3.74,47,20.9,832,39,13,55,53.4
"Hunter Creek CDP, Arizona",19,-,0,-,19,0,0,9,-
"Kohls Ranch CDP, Arizona",106,1.86,0,-,106,0,9,8,0
"Christopher Creek CDP, Arizona",86,2.25,0,N,86,0,0,29,0
"Roosevelt CDP, Arizona",60,2,8,4.1,60,0,0,0,0
"Jakes Corner CDP, Arizona",32,-,0,N,32,0,0,6,-
"Deer Creek CDP, Arizona",185,3.37,8,27.9,185,7,0,46,0
"Valle Vista CDP, Arizona",1959,2.26,124,28.5,1959,50,9,604,11.2
"Grand Canyon West CDP, Arizona",0,-,0,-,0,0,0,0,-
"Crozier CDP, Arizona",25,1.89,1,N,25,0,0,0,0
"Antares CDP, Arizona",147,3.04,4,N,147,0,11,11,20
"Fort Mohave CDP, Arizona",14583,2.71,1503,18.9,14583,481,319,2895,6.2
"Gila Crossing CDP, Arizona",810,5.1,226,22.1,810,44,39,4,29.2
"St. Johns CDP, Arizona",772,5.52,122,21,772,58,62,28,37.1
"Anegam CDP, Arizona",86,3.46,61,N,86,10,6,5,45.8
"Charco CDP, Arizona",12,-,6,N,12,0,0,0,-
"Tees Toh CDP, Arizona",529,4.91,367,41.9,529,43,36,14,42.4
"Whitecone CDP, Arizona",847,3.96,542,45,847,75,26,11,51.3
"Low Mountain CDP, Arizona",623,4.24,462,27.6,623,49,21,0,31.1
"Hard Rock CDP, Arizona",85,4.87,57,N,85,4,0,0,40
"Turkey Creek CDP, Arizona",489,5.67,205,24.1,489,33,27,32,14.7
"Fort Apache CDP, Arizona",186,4.13,48,11,186,11,18,0,12.5
"Rainbow City CDP, Arizona",1114,4.48,584,14.5,1114,55,56,0,34.3
"Pinetop Country Club CDP, Arizona",1677,2.99,93,18.8,1677,46,44,372,1.9
"Cowlic CDP, Arizona",189,3.43,27,N,189,25,0,8,81.6
"Topawa CDP, Arizona",143,2.65,97,N,143,8,0,0,27.9
"Comobabi CDP, Arizona",43,4.78,0,N,43,0,0,0,0
"Maish Vaya CDP, Arizona",188,4.39,52,46.3,188,19,3,4,33.3
"Gu Oidak CDP, Arizona",98,3.77,18,N,98,0,0,10,30.8
"Rincon Valley CDP, Arizona",6151,3.35,587,33.1,6151,455,282,1303,3.1
"Summerhaven CDP, Arizona",189,4.62,0,N,189,0,0,0,0
"Arivaca CDP, Arizona",627,2.05,49,N,627,0,0,46,7.9
"Copper Hill CDP, Arizona",0,-,0,-,0,0,0,0,-
"Dripping Springs CDP, Arizona",165,2.8,57,32.3,165,12,0,17,0
"El Capitan CDP, Arizona",121,3.63,8,19.4,121,21,0,13,0
"Rock House CDP, Arizona",61,2.05,7,-,61,0,0,7,0
"Haigler Creek CDP, Arizona",29,2,0,-,29,0,0,11,0
"Cutter CDP, Arizona",0,-,0,-,0,0,0,0,-
"Pinal CDP, Arizona",660,4.51,79,10.7,660,0,20,52,20
"Brenda CDP, Arizona",392,2.32,6,N,392,0,7,51,7.7
"Utting CDP, Arizona",83,2,0,-,83,0,3,17,27.8
"La Paz Valley CDP, Arizona",497,2.16,0,N,497,0,0,35,0
"Cienega Springs CDP, Arizona",1926,3.02,173,14.1,1926,166,57,202,22.2
"Alamo Lake CDP, Arizona",3,-,0,N,3,0,0,2,-
"Sunwest CDP, Arizona",22,2.43,7,-,22,0,0,0,0
"Carrizo CDP, Arizona",191,4.87,65,N,191,14,7,5,76.3
"Cedar Creek CDP, Arizona",605,5.25,275,28,605,45,13,25,42.7
"Six Shooter Canyon CDP, Arizona",963,2.95,171,18.8,963,21,9,143,19
"Bear Flat CDP, Arizona",0,-,0,-,0,0,0,0,-
"Beaver Valley CDP, Arizona",166,2.19,10,N,166,0,8,24,0
"Freedom Acres CDP, Arizona",113,2.46,0,N,113,0,0,9,19.6
"Dateland CDP, Arizona",356,2.79,156,18.8,356,34,10,65,10.4
"Aztec CDP, Arizona",0,-,0,-,0,0,0,0,-
"Buckshot CDP, Arizona",27,1.8,13,-,27,0,0,0,46.7
"Buckeye city, Arizona",62090,3.58,15507,31.5,62090,4244,3831,9146,9.2
"North Fork CDP, Arizona",1634,4.48,611,20.4,1634,103,40,34,28.1
"Hondah CDP, Arizona",991,4.48,298,25.2,991,56,51,108,27.8
"Elephant Head CDP, Arizona",735,3.03,214,31,735,24,6,148,11.4
"Ak Chin CDP, Arizona",33,4.83,22,N,33,16,0,0,0
"Ali Chuk CDP, Arizona",120,4.89,73,N,120,6,0,5,27.8
"Clay Springs CDP, Arizona",392,4.53,22,N,392,71,0,19,23.7
"Pinedale CDP, Arizona",320,2.73,18,44.6,320,41,8,82,0
"Linden CDP, Arizona",2856,3.27,26,18.3,2856,251,201,481,7.9
"Lake of the Woods CDP, Arizona",3975,2.93,456,29.8,3975,166,153,505,18.2
"Wagon Wheel CDP, Arizona",1259,2.59,79,22.4,1259,34,69,207,13.8
"White Mountain Lake CDP, Arizona",2476,3.03,307,29.2,2476,107,208,383,27.5
"Woodruff CDP, Arizona",126,1.91,0,N,126,0,10,30,0
"Joseph City CDP, Arizona",1260,3.47,142,14.7,1260,118,20,166,9.5
"Sun Valley CDP, Arizona",195,2,75,N,195,0,33,8,100
"Indian Wells CDP, Arizona",275,4.4,181,50.1,275,33,16,2,34.5
"Seba Dalkai CDP, Arizona",144,6.1,104,37.4,144,10,2,3,33.3
"Ali Chukson CDP, Arizona",107,5.29,15,N,107,11,9,8,0
"Wet Camp Village CDP, Arizona",351,6.92,0,26.6,351,23,0,0,42.1
"Casa Blanca CDP, Arizona",1189,5.74,131,24.7,1189,39,22,0,44.4
"Goodyear Village CDP, Arizona",236,4.95,36,N,236,5,8,0,52.4
"Santa Cruz CDP, Arizona",0,-,0,-,0,0,0,0,-
"Sacate Village CDP, Arizona",177,8.14,32,N,177,0,21,0,100
"San Tan Valley CDP, Arizona",90665,3.91,12082,36.5,90665,5873,5098,15774,7.8
"Franklin CDP, Arizona",37,2.27,0,N,37,0,0,0,45.5
"York CDP, Arizona",620,2.96,83,24.9,620,29,16,59,22.2
"Kino Springs CDP, Arizona",400,5.23,195,24.2,400,40,5,32,15.1
"Fort Valley CDP, Arizona",1195,2.75,115,15.3,1195,230,20,293,4.8
"Doney Park CDP, Arizona",5522,3.36,547,21.3,5522,476,331,1182,7.6
"Tolani Lake CDP, Arizona",330,4.33,226,31.7,330,17,4,3,49.3
"Valle CDP, Arizona",185,1.78,121,N,185,0,0,0,0
"Beyerville CDP, Arizona",219,4.95,211,17.6,219,27,0,0,52.4
"Rio Rico CDP, Arizona",18891,3.51,14521,28.6,18891,1633,1005,3934,13.3
"Solomon CDP, Arizona",424,3.75,165,19.6,424,11,19,47,8.4
"Fort Thomas CDP, Arizona",577,4.01,29,23.7,577,62,19,88,6.1
"Bylas CDP, Arizona",1834,5.74,526,28,1834,115,52,21,46
"Bryce CDP, Arizona",69,2.15,0,N,69,0,0,0,0
